team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,position,clean_sheets,shots_faced,matchid
Poovai United,3,POR2025231,HARISH ,7,1,0,1,0,0,0,2,2,1,2,1,5,0,2,0,0,0,0,0,1,0,0,0,Forward,0,11,9
Poovai United,3,POR2025232,GERALD,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,Midfield,0,11,9
Poovai United,3,POR2025233,RAGU,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Defense,0,11,9
Poovai United,3,POR2025237,ANTO ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,Defense,0,11,9
Poovai United,3,POR2025239,EZHIL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,Defense,0,11,9
Poovai United,3,POR2025244,AKASH,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midfield,0,11,9
Poovai United,3,POR2025245,DEVA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Forward,0,11,9
Poovai United,3,POR2025246,DEEPAK ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,Defense,0,11,9
Poovai United,3,POR2025247,MANI,11,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Forward,0,11,9
Poovai United,3,POR2025248,IRFAN,15,0,0,0,0,0,0,1,1,0,0,4,4,0,0,2,0,0,0,1,3,0,0,0,Midfield,0,11,9
Poovai United,3,POR2025249,TAMIL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,11,9
Poovai United,3,POR2025250,NILA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,11,9
Poovai United,3,POR2025256,vignesh,51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,GK,0,11,9
Steds HCL FC,15,POR2025319,Vignesh,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Midfield,0,4,9
Steds HCL FC,15,POR2025322,Prasanth,80,0,0,0,0,0,0,1,1,0,1,1,4,0,2,1,0,0,0,0,3,0,0,0,Defense,0,4,9
Steds HCL FC,15,POR2025323,Mani DJ,05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Defense,0,4,9
Steds HCL FC,15,POR2025324,Akash,10,1,0,1,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,Forward,0,4,9
Steds HCL FC,15,POR2025328,Selva,19,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,Midfield,0,4,9
Steds HCL FC,15,POR2025330,Surya,08,1,0,0,1,0,0,0,0,1,3,1,4,0,0,2,0,0,0,0,0,1,1,0,Defense,0,4,9
Steds HCL FC,15,POR2025331,Arun,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,GK,0,4,9
Steds HCL FC,15,POR2025334,Jeeva,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Midfield,0,4,9
Steds HCL FC,15,POR2025335,Magesh,7,1,0,1,0,0,0,1,1,1,3,0,3,0,0,3,0,0,0,0,4,0,0,0,Midfield,0,4,9
Steds HCL FC,15,POR2025337,Noel,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,1,4,0,0,Defense,0,4,9
Steds HCL FC,15,POR2025338,bulleta,80,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,Forward,0,4,9
Steds HCL FC,15,POR2025341,THIYAGU,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Defense,0,4,9
